,userid,likes_given,pages_liked_sum_likes
0,ed3a624866919c68e28343519850888c,4553,181237
1,9cd63231d57296ff76065355114ea2fd,4504,69904
2,0ab38e4d544251903c49e4306a43eace,4140,272858
3,b123e89dd4dcd800c1ffe5d1d73c14be,4003,81693
4,7f24f7fb09c6b3e7d8091a8eacc85a3a,3958,125450
5,2b27a31baf7e674b5647711e3d482223,3892,85076
6,2c5ed241a25b7673a8d1d1c7bb2ea537,3688,95998
7,1b2c0a049e97b45f1066b7e8f5f2f584,3481,140339
8,9d1eaec369c6f2c62a85333ba666dbdc,3471,221893
9,9607625a8b96e55fa0a454539f4171ff,3444,143382
10,339402e69fde8ac3b12fe1ccc50e1752,3318,151459
11,d2fceadfee9f12dc647bfb8dca0e432d,3304,133271
12,1070ca6848fa2d2d591ab64cf9b6578b,3269,77288
13,e435cc84c7a2ee62eefd58f6d3a245e9,3220,131600
14,ace4198384120143012d0f7e4792ec9c,3203,192423
15,26d4088dbf5860e5d2ea5cf3f8287a40,3117,186410
16,325351b4ed6a11abc46840f6a63c8f66,3079,227294
17,3d210c86dd4092f8e90e8778b3d2dfed,3063,263094
18,ab0a11e1f20882fd59abb75da179b81a,3056,27520
19,3be1d06df92e6999b0280d0e93350a8a,3035,204268
20,93d4a1e0e7de98ed11f4864ca5716c37,2983,176834
21,0a246aff8e07d7662800626c34898281,2978,225356
22,1a00f3a2e9bacf090a003fd240f148d7,2965,119356
23,b4b4b4b327fe319a1905ebf32172cb30,2885,225737
24,996e41974bb7270c862041060e9e3443,2879,134036
25,35c268b31598c655d96800a68db3e9f5,2865,162612
26,7fdb10850d7ebe37667be46dbc1a6b2a,2846,62608
27,775af6b343c732cdefa834e387ef24b0,2835,55697
28,f2dff88f264503da07fb5d494da87d09,2835,149743
29,2ce46d32d305bbcebacf4df9d09ec882,2794,228077
30,7615593f9bf402ff2389405db4d5866b,2743,157695
31,20f8656300fb5231db49c7daf7961333,2715,89443
32,5c2e066d518035a3133dc1467ab7df56,2712,163165
33,ca78aaf1b34b9db1e6f25926859a2d7f,2704,144246
34,c9073a3c6e9ebc4a2f5cef09f6cfcfa4,2699,75722
35,67108ce32009962caa2c62b4530c0dbb,2680,132921
36,12b7c934ede104b8ae7c6d84be63a3de,2568,78243
37,6b5687946746267c45a81b0d52e78d06,2523,103923
38,96e501260b05405cdc97ae8938ef291c,2504,181581
39,0c812eb3555edc58d3cedc0f28967de7,2442,185534
40,9f2fc143a31bf815e5ec75d505ca780f,2413,185600
41,ba9fb135d8d76d6feb0f3536ba5e4e08,2361,224280
42,e46698fbb08803ca05acdf3ace8dcd93,2357,62509
43,9028a49abd0d533af410e4c225cf3bbe,2340,111112
44,1f36e75b6756281dd483b2ae6d6541e3,2333,176903
45,d05129002555f74caf6e469a03cfb0a0,2318,162684
46,a006355f906cfc22018ec5ffd6502041,2312,143052
47,23bb3332905ec10bf36b0e463a38bd5e,2310,198752
48,123f18aa7077a3c2f7f14863c5dc65e0,2305,153279
49,3c66f1130cd08cf9b368a1234c2d3119,2298,193063
50,f7257db684f2c03cd8efa05a07cfa229,2268,126177
